name,demonym,sentence
Afghanistan,Afghan,I am Afghan.
Angola,Angolan,I am Angolan.
Albania,Albanian,I am Albanian.
Andorra,Andorran,I am Andorran.
United Arab Emirates,Emirati,I am Emirati.
Argentina,Argentine,I am Argentine.
Armenia,Armenian,I am Armenian.
Antigua and Barbuda,Antiguan,I am Antiguan.
Australia,Australian,I am Australian.
Austria,Austrian,I am Austrian.
Azerbaijan,Azerbaijani,I am Azerbaijani.
Burundi,Burundian,I am Burundian.
Belgium,Belgian,I am Belgian.
Benin,Beninese,I am Beninese.
Burkina Faso,Burkinabe,I am Burkinabe.
Bangladesh,Bangladeshi,I am Bangladeshi.
Bulgaria,Bulgarian,I am Bulgarian.
Bahrain,Bahraini,I am Bahraini.
Bahamas,Bahamian,I am Bahamian.
Bosnia and Herzegovina,Bosnian,I am Bosnian.
Belarus,Belarusian,I am Belarusian.
Belize,Belizean,I am Belizean.
Bolivia,Bolivian,I am Bolivian.
Brazil,Brazilian,I am Brazilian.
Barbados,Barbadian,I am Barbadian.
Brunei,Bruneian,I am Bruneian.
Bhutan,Bhutanese,I am Bhutanese.
Botswana,Motswana,I am Motswana.
Central African Republic,Central African,I am Central African.
Canada,Canadian,I am Canadian.
Switzerland,Swiss,I am Swiss.
Chile,Chilean,I am Chilean.
China,Chinese,I am Chinese.
Ivory Coast,Ivorian,I am Ivorian.
Cameroon,Cameroonian,I am Cameroonian.
DR Congo,Congolese,I am Congolese.
Republic of the Congo,Congolese,I am Congolese.
Colombia,Colombian,I am Colombian.
Comoros,Comoran,I am Comoran.
Cape Verde,Cape Verdian,I am Cape Verdian.
Costa Rica,Costa Rican,I am Costa Rican.
Cuba,Cuban,I am Cuban.
Cyprus,Cypriot,I am Cypriot.
Czechia,Czech,I am Czech.
Germany,German,I am German.
Djibouti,Djibouti,I am Djibouti.
Dominica,Dominican,I am Dominican.
Denmark,Danish,I am Danish.
Dominican Republic,Dominican,I am Dominican.
Algeria,Algerian,I am Algerian.
Ecuador,Ecuadorean,I am Ecuadorean.
Egypt,Egyptian,I am Egyptian.
Eritrea,Eritrean,I am Eritrean.
Spain,Spanish,I am Spanish.
Estonia,Estonian,I am Estonian.
Ethiopia,Ethiopian,I am Ethiopian.
Finland,Finnish,I am Finnish.
Fiji,Fijian,I am Fijian.
France,French,I am French.
Micronesia,Micronesian,I am Micronesian.
Gabon,Gabonese,I am Gabonese.
United Kingdom,British,I am British.
Georgia,Georgian,I am Georgian.
Ghana,Ghanaian,I am Ghanaian.
Guinea,Guinean,I am Guinean.
Gambia,Gambian,I am Gambian.
Guinea-Bissau,Guinea-Bissauan,I am Guinea-Bissauan.
Equatorial Guinea,Equatorial Guinean,I am Equatorial Guinean.
Greece,Greek,I am Greek.
Grenada,Grenadian,I am Grenadian.
Guatemala,Guatemalan,I am Guatemalan.
Guyana,Guyanese,I am Guyanese.
Honduras,Honduran,I am Honduran.
Croatia,Croatian,I am Croatian.
Haiti,Haitian,I am Haitian.
Hungary,Hungarian,I am Hungarian.
Indonesia,Indonesian,I am Indonesian.
India,Indian,I am Indian.
Ireland,Irish,I am Irish.
Iran,Iranian,I am Iranian.
Iraq,Iraqi,I am Iraqi.
Iceland,Icelander,I am Icelander.
Israel,Israeli,I am Israeli.
Italy,Italian,I am Italian.
Jamaica,Jamaican,I am Jamaican.
Jordan,Jordanian,I am Jordanian.
Japan,Japanese,I am Japanese.
Kazakhstan,Kazakhstani,I am Kazakhstani.
Kenya,Kenyan,I am Kenyan.
Kyrgyzstan,Kirghiz,I am Kirghiz.
Cambodia,Cambodian,I am Cambodian.
Kiribati,I-Kiribati,I am I-Kiribati.
Saint Kitts and Nevis,Kittitian or Nevisian,I am Kittitian or Nevisian.
South Korea,South Korean,I am South Korean.
Kuwait,Kuwaiti,I am Kuwaiti.
Laos,Laotian,I am Laotian.
Lebanon,Lebanese,I am Lebanese.
Liberia,Liberian,I am Liberian.
Libya,Libyan,I am Libyan.
Saint Lucia,Saint Lucian,I am Saint Lucian.
Liechtenstein,Liechtensteiner,I am Liechtensteiner.
Sri Lanka,Sri Lankan,I am Sri Lankan.
Lesotho,Mosotho,I am Mosotho.
Lithuania,Lithuanian,I am Lithuanian.
Luxembourg,Luxembourger,I am Luxembourger.
Latvia,Latvian,I am Latvian.
Morocco,Moroccan,I am Moroccan.
Monaco,Monegasque,I am Monegasque.
Moldova,Moldovan,I am Moldovan.
Madagascar,Malagasy,I am Malagasy.
Maldives,Maldivan,I am Maldivan.
Mexico,Mexican,I am Mexican.
Marshall Islands,Marshallese,I am Marshallese.
North Macedonia,Macedonian,I am Macedonian.
Mali,Malian,I am Malian.
Malta,Maltese,I am Maltese.
Myanmar,Burmese,I am Burmese.
Montenegro,Montenegrin,I am Montenegrin.
Mongolia,Mongolian,I am Mongolian.
Mozambique,Mozambican,I am Mozambican.
Mauritania,Mauritanian,I am Mauritanian.
Mauritius,Mauritian,I am Mauritian.
Malawi,Malawian,I am Malawian.
Malaysia,Malaysian,I am Malaysian.
Namibia,Namibian,I am Namibian.
Niger,Nigerien,I am Nigerien.
Nigeria,Nigerian,I am Nigerian.
Nicaragua,Nicaraguan,I am Nicaraguan.
Netherlands,Dutch,I am Dutch.
Norway,Norwegian,I am Norwegian.
Nepal,Nepalese,I am Nepalese.
Nauru,Nauruan,I am Nauruan.
New Zealand,New Zealander,I am New Zealander.
Oman,Omani,I am Omani.
Pakistan,Pakistani,I am Pakistani.
Panama,Panamanian,I am Panamanian.
Peru,Peruvian,I am Peruvian.
Philippines,Filipino,I am Filipino.
Palau,Palauan,I am Palauan.
Papua New Guinea,Papua New Guinean,I am Papua New Guinean.
Poland,Polish,I am Polish.
North Korea,North Korean,I am North Korean.
Portugal,Portuguese,I am Portuguese.
Paraguay,Paraguayan,I am Paraguayan.
Qatar,Qatari,I am Qatari.
Romania,Romanian,I am Romanian.
Russia,Russian,I am Russian.
Rwanda,Rwandan,I am Rwandan.
Saudi Arabia,Saudi Arabian,I am Saudi Arabian.
Sudan,Sudanese,I am Sudanese.
Senegal,Senegalese,I am Senegalese.
Singapore,Singaporean,I am Singaporean.
Solomon Islands,Solomon Islander,I am Solomon Islander.
Sierra Leone,Sierra Leonean,I am Sierra Leonean.
El Salvador,Salvadoran,I am Salvadoran.
San Marino,Sammarinese,I am Sammarinese.
Somalia,Somali,I am Somali.
Serbia,Serbian,I am Serbian.
South Sudan,South Sudanese,I am South Sudanese.
São Tomé and Príncipe,Sao Tomean,I am Sao Tomean.
Suriname,Surinamer,I am Surinamer.
Slovakia,Slovak,I am Slovak.
Slovenia,Slovene,I am Slovene.
Sweden,Swedish,I am Swedish.
Eswatini,Swazi,I am Swazi.
Seychelles,Seychellois,I am Seychellois.
Syria,Syrian,I am Syrian.
Chad,Chadian,I am Chadian.
Togo,Togolese,I am Togolese.
Thailand,Thai,I am Thai.
Tajikistan,Tadzhik,I am Tadzhik.
Turkmenistan,Turkmen,I am Turkmen.
Timor-Leste,East Timorese,I am East Timorese.
Tonga,Tongan,I am Tongan.
Trinidad and Tobago,Trinidadian,I am Trinidadian.
Tunisia,Tunisian,I am Tunisian.
Türkiye,Turkish,I am Turkish.
Tuvalu,Tuvaluan,I am Tuvaluan.
Tanzania,Tanzanian,I am Tanzanian.
Uganda,Ugandan,I am Ugandan.
Ukraine,Ukrainian,I am Ukrainian.
Uruguay,Uruguayan,I am Uruguayan.
United States,American,I am American.
Uzbekistan,Uzbekistani,I am Uzbekistani.
Saint Vincent and the Grenadines,Saint Vincentian,I am Saint Vincentian.
Venezuela,Venezuelan,I am Venezuelan.
Vietnam,Vietnamese,I am Vietnamese.
Vanuatu,Ni-Vanuatu,I am Ni-Vanuatu.
Samoa,Samoan,I am Samoan.
Yemen,Yemeni,I am Yemeni.
South Africa,South African,I am South African.
Zambia,Zambian,I am Zambian.
Zimbabwe,Zimbabwean,I am Zimbabwean.
