eng,fra_m,fra_f,fra_n,output
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Saint-Lucien. (masculine)\nJe suis Saint-Lucienne. (feminine)\n\nNote: The hyphenated form is used because it refers to a nationality or origin."", type='text')]"
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Liechtensteinois. (masculine)\nJe suis Liechtensteinoise. (feminine)\n\nNote: ""Liechtensteinois"" is the correct demonym for someone from Liechtenstein.', type='text')]"
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Sri Lankais. (if you're male)\nJe suis Sri Lankaise. (if you're female)"", type='text')]"
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"[TextBlock(text='In French, the translation would be:\n\n""Je suis Mosotho.""\n\nNote: ""Mosotho"" is a term referring to a person from Lesotho, a country in southern Africa. The word remains the same in French.', type='text')]"
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Lituanien."" (if you\'re a male)\n""Je suis Lituanienne."" (if you\'re a female)', type='text')]"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Luxembourgeois. (if you're male)\nJe suis Luxembourgeoise. (if you're female)"", type='text')]"
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"[TextBlock(text=""Here's the translation:\n\nJe suis letton. (if you're male)\nJe suis lettone. (if you're female)"", type='text')]"
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis marocain. (if you're male)\nJe suis marocaine. (if you're female)"", type='text')]"
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis monégasque.\n\nNote: ""Monégasque"" refers to someone from Monaco, and it is written with a lowercase ""m"" when used as an adjective or nationality.', type='text')]"
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Moldave.\n\nNote: ""Moldave"" is the French term for someone from Moldova.', type='text')]"
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Malgache."", type='text')]"
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Maldivien."" (for a male)\n""Je suis Maldivienne."" (for a female)\n\nNote: The word changes slightly depending on the gender of the speaker.', type='text')]"
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis mexicain. (if you're male)\nJe suis mexicaine. (if you're female)"", type='text')]"
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Marshallais. (masculine)\nJe suis Marshallaise. (feminine)\n\nNote: The spelling changes depending on the gender of the speaker."", type='text')]"
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis macédonien. (if you're male)\nJe suis macédonienne. (if you're female)"", type='text')]"
I am Malian.,Je suis Malien.,Je suis Malienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis malien. (if you're male)\nJe suis malienne. (if you're female)"", type='text')]"
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis maltais. (if you're male)\nJe suis maltaise. (if you're female)"", type='text')]"
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Birmane. (if you're a woman)\nJe suis Birman. (if you're a man)"", type='text')]"
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis monténégrin. (if you're male)\nJe suis monténégrine. (if you're female)"", type='text')]"
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Mongol.\n\nNote: ""Mongol"" is the French word for ""Mongolian"" when referring to a person\'s nationality.', type='text')]"
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis mozambicain."" (if you\'re male)\n""Je suis mozambicaine."" (if you\'re female)', type='text')]"
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis mauritanien. (if you're male)\nJe suis mauritanienne. (if you're female)"", type='text')]"
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis mauricien. (if you're male)\nJe suis mauricienne. (if you're female)\n\nNote: The spelling changes depending on the gender of the speaker."", type='text')]"
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Malawien. (if you're male)\nJe suis Malawienne. (if you're female)"", type='text')]"
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Malaisien. (if you're male)\nJe suis Malaisienne. (if you're female)\n\nNote: The spelling changes depending on the gender of the speaker."", type='text')]"
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Namibien. (if you're male)\nJe suis Namibienne. (if you're female)"", type='text')]"
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"[TextBlock(text='In French, ""I am Nigerien"" would be translated as:\n\n""Je suis Nigérien"" (for a male)\nor\n""Je suis Nigérienne"" (for a female)\n\nNote the accent on the ""e"" in Nigérien/Nigérienne, which distinguishes someone from Niger from something related to Nigeria.', type='text')]"
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Nigérian. (for a male)\nJe suis Nigériane. (for a female)"", type='text')]"
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis nicaraguayen. (if you're male)\nJe suis nicaraguayenne. (if you're female)"", type='text')]"
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"[TextBlock(text='In French, ""I am Dutch"" would be translated as:\n\n""Je suis néerlandais."" (if you\'re male)\n""Je suis néerlandaise."" (if you\'re female)', type='text')]"
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis norvégien. (if you're male)\nJe suis norvégienne. (if you're female)"", type='text')]"
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Népalais. (if you're male)\nJe suis Népalaise. (if you're female)"", type='text')]"
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Nauruan.\n\nNote: Since ""Nauruan"" refers to a nationality or someone from Nauru, it remains the same in French. The verb ""to be"" (être) is conjugated as ""suis"" in the first person singular.', type='text')]"
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"[TextBlock(text='In French, the translation would be:\n\n""Je suis Néo-Zélandais."" (if you\'re male)\n""Je suis Néo-Zélandaise."" (if you\'re female)\n\nNote: The term ""Néo-Zélandais"" (or ""Néo-Zélandaise"") is the French term for someone from New Zealand.', type='text')]"
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Omanais. (if you're male)\nJe suis Omanaise. (if you're female)"", type='text')]"
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis pakistanais. (if you're male)\nJe suis pakistanaise. (if you're female)"", type='text')]"
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Panaméen. (if you're male)\nJe suis Panaméenne. (if you're female)"", type='text')]"
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis péruvien. (if you're male)\nJe suis péruvienne. (if you're female)"", type='text')]"
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis philippin. (if you're male)\nJe suis philippine. (if you're female)\n\nNote: The spelling changes slightly depending on the gender of the speaker."", type='text')]"
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Palauan.\n\nNote: Since ""Palauan"" refers to a nationality or ethnic identity, it remains unchanged in the French translation.', type='text')]"
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Papou-Néo-Guinéen. (masculine)\nJe suis Papou-Néo-Guinéenne. (feminine)\n\nNote: The translation changes slightly depending on the gender of the speaker."", type='text')]"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis polonais. (if you're a male)\nJe suis polonaise. (if you're a female)"", type='text')]"
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Nord-Coréen. (if you\'re male)\nJe suis Nord-Coréenne. (if you\'re female)\n\nNote: The hyphenated form ""Nord-Coréen/Nord-Coréenne"" is the standard way to write this nationality in French.', type='text')]"
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis portugais. (if you're male)\nJe suis portugaise. (if you're female)"", type='text')]"
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis paraguayen. (if you're male)\nJe suis paraguayenne. (if you're female)"", type='text')]"
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Qatari.\n\nNote: ""Qatari"" remains the same in French, as it is a proper noun referring to a nationality.', type='text')]"
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis roumain. (if you're male)\nJe suis roumaine. (if you're female)"", type='text')]"
I am Russian.,Je suis Russe.,Je suis Russe.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis russe.\n\nPronunciation: ""zhuh swee roos""', type='text')]"
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Rwandais. (if you're male)\nJe suis Rwandaise. (if you're female)"", type='text')]"
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Saoudien. (if you\'re male)\nJe suis Saoudienne. (if you\'re female)\n\nNote: ""Saoudien"" (masculine) or ""Saoudienne"" (feminine) refers specifically to someone from Saudi Arabia.', type='text')]"
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis soudanais. (if you're male)\nJe suis soudanaise. (if you're female)"", type='text')]"
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis sénégalais. (if you're male)\nJe suis sénégalaise. (if you're female)"", type='text')]"
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Singapourien. (masculine)\nJe suis Singapourienne. (feminine)"", type='text')]"
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis originaire des Îles Salomon."" (Most precise translation)\n\nOr more simply:\n\n""Je suis Salomonien(ne)."" (Depending on your gender)\n\nNote: \n- ""Salomonien"" is used for a male\n- ""Salomonienne"" is used for a female', type='text')]"
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Sierra-Léonais. (if you're male)\nJe suis Sierra-Léonaise. (if you're female)\n\nNote: Sierra-Léonais/Sierra-Léonaise is the term used to describe someone from Sierra Leone."", type='text')]"
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis salvadorien. (masculine)\nJe suis salvadorienne. (feminine)"", type='text')]"
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis saint-marinais."" (masculine)\nor\n""Je suis saint-marinaise."" (feminine)\n\nNote: Saint-Marinais/Saint-Marinaise refers to someone from San Marino.', type='text')]"
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Somalien. (if you're male)\nJe suis Somalienne. (if you're female)"", type='text')]"
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Serbe.""\n\nNote: ""Serbe"" is capitalized because it refers to a nationality.', type='text')]"
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Sud-Soudanais. (masculine)\nJe suis Sud-Soudanaise. (feminine)\n\nNote: The term ""Sud-Soudanais"" (or ""Sud-Soudanaise"" for a woman) is used to describe someone from South Sudan.', type='text')]"
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis santoméen. (if you\'re male)\nJe suis santoméenne. (if you\'re female)\n\nNote: The term ""santoméen"" (or ""santoméenne"" for females) refers to someone from São Tomé and Príncipe.', type='text')]"
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"[TextBlock(text='In French, the translation would be:\n\n""Je suis Surinamien."" (for a male)\n""Je suis Surinamienne."" (for a female)\n\nNote: ""Surinamien"" (masculine) or ""Surinamienne"" (feminine) refers to someone from Suriname.', type='text')]"
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis slovaque.""', type='text')]"
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Slovène."", type='text')]"
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis suédois. (if you're a male)\nJe suis suédoise. (if you're a female)"", type='text')]"
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Swazi.\n\nNote: ""Swazi"" refers to someone from Eswatini (formerly known as Swaziland), and in this context, it would be used as a nationality or ethnic identifier.', type='text')]"
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"[TextBlock(text='In French, ""I am Seychellois"" would be:\n\n""Je suis Seychellois."" (for a male)\n""Je suis Seychelloise."" (for a female)', type='text')]"
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Syrien. (if you're male)\nJe suis Syrienne. (if you're female)"", type='text')]"
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Tchadien. (if you\'re male)\nJe suis Tchadienne. (if you\'re female)\n\nNote: ""Tchadien"" (masculine) or ""Tchadienne"" (feminine) refers to someone from Chad.', type='text')]"
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Togolais. (if you're male)\nJe suis Togolaise. (if you're female)\n\nNote: The adjective changes depending on the gender of the speaker."", type='text')]"
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Thaïlandais. (if you're male)\nJe suis Thaïlandaise. (if you're female)\n\nNote: The spelling changes slightly depending on the gender of the speaker."", type='text')]"
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Tadjik.\n\nNote: ""Tadjik"" refers to someone from Tajikistan or of Tajik ethnicity. The spelling in French is slightly different from the English spelling, using ""Tadjik"" instead of ""Tadzhik"".', type='text')]"
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Turkmène.\n\nNote: ""Turkmène"" refers to someone from Turkmenistan or of Turkmen ethnicity.', type='text')]"
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Est-Timorais. (masculine)\nJe suis Est-Timoraise. (feminine)\n\nNote: The term ""Est-Timorais"" (masculine) or ""Est-Timoraise"" (feminine) is used to describe someone from East Timor.', type='text')]"
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Tongien."" (masculine)\n""Je suis Tongienne."" (feminine)', type='text')]"
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Trinidadien. (if you're male)\nJe suis Trinidadienne. (if you're female)"", type='text')]"
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis tunisien. (if you're male)\nJe suis tunisienne. (if you're female)"", type='text')]"
I am Turkish.,Je suis Turc.,Je suis Turque.,,"[TextBlock(text=""Here's the translation:\n\nJe suis turc. (if you're male)\nJe suis turque. (if you're female)"", type='text')]"
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Tuvaluan.\n\nNote: ""Tuvaluan"" is an adjective referring to someone from Tuvalu, so it remains the same in French.', type='text')]"
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Tanzanien. (if you're male)\nJe suis Tanzanienne. (if you're female)"", type='text')]"
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Ougandais. (if you're male)\nJe suis Ougandaise. (if you're female)"", type='text')]"
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis ukrainien."" (if you\'re a male)\n""Je suis ukrainienne."" (if you\'re a female)', type='text')]"
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis uruguayen. (if you're male)\nJe suis uruguayenne. (if you're female)"", type='text')]"
I am American.,Je suis Américain.,Je suis Américaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis américain. (if you're a male)\nJe suis américaine. (if you're a female)"", type='text')]"
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis ouzbek.\n\nNote: ""Ouzbek"" is the French term for someone from Uzbekistan.', type='text')]"
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis de Saint-Vincent.""\n\nNote: This translation means ""I am from Saint Vincent"" and is the most natural way to express this in French. If you specifically want to emphasize your nationality, you could say:\n\n""Je suis Saint-Vincentais"" (masculine)\n""Je suis Saint-Vincentaise"" (feminine)', type='text')]"
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis vénézuélien. (if you're male)\nJe suis vénézuélienne. (if you're female)"", type='text')]"
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis vietnamien. (if you're male)\nJe suis vietnamienne. (if you're female)"", type='text')]"
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Ni-Vanuatuan.\n\nNote: ""Ni-Vanuatu"" refers to a person from Vanuatu, an island nation in the South Pacific. In French, the term is slightly adapted to ""Ni-Vanuatuan"" to follow French grammatical conventions.', type='text')]"
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Samoan"" or ""Je suis Samoan(e)"" (if specifying gender)\n\nNote: In French, ""Samoan"" is an adjective that can describe someone\'s nationality or origin. The word remains the same for both masculine and feminine forms, though you can add an ""e"" at the end if you want to specify a feminine form.', type='text')]"
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis yéménite.\n\nNote: ""Yéménite"" is the French word for ""Yemeni"" when referring to a person\'s nationality.', type='text')]"
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Sud-Africain. (if you\'re male)\nJe suis Sud-Africaine. (if you\'re female)\n\nNote: The nationality is capitalized in French, and the hyphen is used in the term ""Sud-Africain/Sud-Africaine"".', type='text')]"
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Zambien. (if you're male)\nJe suis Zambienne. (if you're female)"", type='text')]"
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis zimbabwéen. (if you're male)\nJe suis zimbabwéenne. (if you're female)"", type='text')]"
