name,demonym,fra_m,fra_f
Afghanistan,Afghan,Afghan,Afghane
Angola,Angolan,Angolais,Angolaise
Albania,Albanian,Albanais,Albanaise
Andorra,Andorran,Andorran,Andorrane
United Arab Emirates,Emirati,Emirien,Emirienne
Argentina,Argentine,Argentin,Argentine
Armenia,Armenian,Arménien,Arménienne
Antigua and Barbuda,"Antiguan, Barbudan",Antiguaise et barbudien,Antiguaise et barbudienne
Australia,Australian,Australien,Australienne
Austria,Austrian,Autrichien,Autrichienne
Azerbaijan,Azerbaijani,Azerbaïdjanais,Azerbaïdjanaise
Burundi,Burundian,Burundais,Burundaise
Belgium,Belgian,Belge,Belge
Benin,Beninese,Béninois,Béninoise
Burkina Faso,Burkinabe,Burkinabé,Burkinabée
Bangladesh,Bangladeshi,Bangladais,Bangladaise
Bulgaria,Bulgarian,Bulgare,Bulgare
Bahrain,Bahraini,Bahreïnien,Bahreïnienne
Bahamas,Bahamian,Bahamien,Bahamienne
Bosnia and Herzegovina,"Bosnian, Herzegovinian",Bosnien,Bosnienne
Belarus,Belarusian,Biélorusse,Biélorusse
Belize,Belizean,Bélizien,Bélizienne
Bolivia,Bolivian,Bolivien,Bolivienne
Brazil,Brazilian,Brésilien,Brésilienne
Barbados,Barbadian,Barbadien,Barbadienne
Brunei,Bruneian,Brunéien,Brunéienne
Bhutan,Bhutanese,Bhoutanais,Bhoutanaise
Botswana,Motswana,Botswanais,Botswanaise
Central African Republic,Central African,Centrafricain,Centrafricaine
Canada,Canadian,Canadien,Canadienne
Switzerland,Swiss,Suisse,Suisse
Chile,Chilean,Chilien,Chilienne
China,Chinese,Chinois,Chinoise
Ivory Coast,Ivorian,Ivoirien,Ivoirienne
Cameroon,Cameroonian,Camerounais,Camerounaise
DR Congo,Congolese,Congolais,Congolaise
Republic of the Congo,Congolese,Congolais,Congolaise
Colombia,Colombian,Colombien,Colombienne
Comoros,Comoran,Comorien,Comorienne
Cape Verde,Cape Verdian,Cap-verdien,Cap-verdienne
Costa Rica,Costa Rican,Costaricain,Costaricaine
Cuba,Cuban,Cubain,Cubaine
Cyprus,Cypriot,Chypriote,Chypriote
Czechia,Czech,Tchèque,Tchèque
Germany,German,Allemand,Allemande
Djibouti,Djibouti,Djiboutien,Djiboutienne
Dominica,Dominican,Dominiquais,Dominiquaise
Denmark,Danish,Danois,Danoise
Dominican Republic,Dominican,Dominicain,Dominicaine
Algeria,Algerian,Algérien,Algérienne
Ecuador,Ecuadorean,Équatorien,Équatorienne
Egypt,Egyptian,Égyptien,Égyptienne
Eritrea,Eritrean,Érythréen,Érythréenne
Spain,Spanish,Espagnol,Espagnole
Estonia,Estonian,Estonien,Estonienne
Ethiopia,Ethiopian,Éthiopien,Éthiopienne
Finland,Finnish,Finlandais,Finlandaise
Fiji,Fijian,Fidjien,Fidjienne
France,French,Français,Française
Micronesia,Micronesian,Micronésien,Micronésienne
Gabon,Gabonese,Gabonais,Gabonaise
United Kingdom,British,Britannique,Britannique
Georgia,Georgian,Géorgien,Géorgienne
Ghana,Ghanaian,Ghanéen,Ghanéenne
Guinea,Guinean,Guinéen,Guinéenne
Gambia,Gambian,Gambien,Gambienne
Guinea-Bissau,Guinea-Bissauan,Bissau-Guinéen,Bissau-Guinéenne
Equatorial Guinea,Equatorial Guinean,Équato-guinéen,Équato-guinéenne
Greece,Greek,Grec,Grecque
Grenada,Grenadian,Grenadien,Grenadienne
Guatemala,Guatemalan,Guatémaltèque,Guatémaltèque
Guyana,Guyanese,Guyanien,Guyanienne
Honduras,Honduran,Hondurien,Hondurienne
Croatia,Croatian,Croate,Croate
Haiti,Haitian,Haïtien,Haïtienne
Hungary,Hungarian,Hongrois,Hongroise
Indonesia,Indonesian,Indonésien,Indonésienne
India,Indian,Indien,Indienne
Ireland,Irish,Irlandais,Irlandaise
Iran,Iranian,Iranien,Iranienne
Iraq,Iraqi,Irakien,Irakienne
Iceland,Icelander,Islandais,Islandaise
Israel,Israeli,Israélien,Israélienne
Italy,Italian,Italien,Italienne
Jamaica,Jamaican,Jamaïcain,Jamaïcaine
Jordan,Jordanian,Jordanien,Jordanienne
Japan,Japanese,Japonais,Japonaise
Kazakhstan,Kazakhstani,Kazakhstanais,Kazakhstanaise
Kenya,Kenyan,Kényan,Kényane
Kyrgyzstan,Kirghiz,Kirghize,Kirghize
Cambodia,Cambodian,Cambodgien,Cambodgienne
Kiribati,I-Kiribati,Kiribatien,Kiribatienne
Saint Kitts and Nevis,Kittitian or Nevisian,Kittitien-et-nevicien,Kittitienne-et-nevicienne
South Korea,South Korean,Sud-coréen,Sud-coréenne
Kuwait,Kuwaiti,Koweïtien,Koweïtienne
Laos,Laotian,Laotien,Laotienne
Lebanon,Lebanese,Libanais,Libanaise
Liberia,Liberian,Libérien,Libérienne
Libya,Libyan,Libyen,Libyenne
Saint Lucia,Saint Lucian,Saint-Lucien,Saint-Lucienne
Liechtenstein,Liechtensteiner,Liechtensteinois,Liechtensteinoise
Sri Lanka,Sri Lankan,Sri-lankais,Sri-lankaise
Lesotho,Mosotho,Lésothien,Lésothienne
Lithuania,Lithuanian,Lituanien,Lituanienne
Luxembourg,Luxembourger,Luxembourgeois,Luxembourgeoise
Latvia,Latvian,Letton,Lettone
Morocco,Moroccan,Marocain,Marocaine
Monaco,Monegasque,Monégasque,Monégasque
Moldova,Moldovan,Moldave,Moldave
Madagascar,Malagasy,Malgache,Malgache
Maldives,Maldivan,Maldivien,Maldivienne
Mexico,Mexican,Mexicain,Mexicaine
Marshall Islands,Marshallese,Marshallais,Marshallaise
North Macedonia,Macedonian,Macédonien,Macédonienne
Mali,Malian,Malien,Malienne
Malta,Maltese,Maltais,Maltaise
Myanmar,Burmese,Birman,Birmane
Montenegro,Montenegrin,Monténégrin,Monténégrine
Mongolia,Mongolian,Mongol,Mongole
Mozambique,Mozambican,Mozambicain,Mozambicaine
Mauritania,Mauritanian,Mauritanien,Mauritanienne
Mauritius,Mauritian,Mauricien,Mauricienne
Malawi,Malawian,Malawien,Malawienne
Malaysia,Malaysian,Malaisien,Malaisienne
Namibia,Namibian,Namibien,Namibienne
Niger,Nigerien,Nigérien,Nigérienne
Nigeria,Nigerian,Nigérian,Nigériane
Nicaragua,Nicaraguan,Nicaraguayen,Nicaraguayenne
Netherlands,Dutch,Néerlandais,Néerlandaise
Norway,Norwegian,Norvégien,Norvégienne
Nepal,Nepalese,Népalais,Népalaise
Nauru,Nauruan,Nauruan,Nauruane
New Zealand,New Zealander,Neo-Zélandais,Neo-Zélandaise
Oman,Omani,Omanais,Omanaise
Pakistan,Pakistani,Pakistanais,Pakistanaise
Panama,Panamanian,Panaméen,Panaméenne
Peru,Peruvian,Péruvien,Péruvienne
Philippines,Filipino,Philippin,Philippine
Palau,Palauan,Paluan,Paluane
Papua New Guinea,Papua New Guinean,Papouasien,Papouasienne
Poland,Polish,Polonais,Polonaise
North Korea,North Korean,Nord-coréen,Nord-coréenne
Portugal,Portuguese,Portugais,Portugaise
Paraguay,Paraguayan,Paraguayen,Paraguayenne
Qatar,Qatari,Qatarien,Qatarienne
Romania,Romanian,Roumain,Roumaine
Russia,Russian,Russe,Russe
Rwanda,Rwandan,Rwandais,Rwandaise
Saudi Arabia,Saudi Arabian,Saoudien,Saoudienne
Sudan,Sudanese,Soudanais,Soudanaise
Senegal,Senegalese,Sénégalais,Sénégalaise
Singapore,Singaporean,Singapourien,Singapourienne
Solomon Islands,Solomon Islander,Salomonien,Salomonienne
Sierra Leone,Sierra Leonean,Sierra-leonais,Sierra-leonaise
El Salvador,Salvadoran,Salvadorien,Salvadorienne
San Marino,Sammarinese,Saint-Marinais,Saint-Marinaise
Somalia,Somali,Somalien,Somalienne
Serbia,Serbian,Serbe,Serbe
South Sudan,South Sudanese,Sud-Soudanais,Sud-Soudanaise
São Tomé and Príncipe,Sao Tomean,Santoméen,Santoméenne
Suriname,Surinamer,Surinamais,Surinamaise
Slovakia,Slovak,Slovaque,Slovaque
Slovenia,Slovene,Slovène,Slovène
Sweden,Swedish,Suédois,Suédoise
Eswatini,Swazi,Swazie,Swazie
Seychelles,Seychellois,Seychellois,Seychelloise
Syria,Syrian,Syrien,Syrienne
Chad,Chadian,Tchadien,Tchadienne
Togo,Togolese,Togolais,Togolaise
Thailand,Thai,Thaïlandais,Thaïlandaise
Tajikistan,Tadzhik,Tadjike,Tadjike
Turkmenistan,Turkmen,Turkmène,Turkmène
Timor-Leste,East Timorese,Est-timorais,Est-timoraise
Tonga,Tongan,Tonguien,Tonguienne
Trinidad and Tobago,Trinidadian,Trinidadien,Trinidadienne
Tunisia,Tunisian,Tunisien,Tunisienne
Türkiye,Turkish,Turc,Turque
Tuvalu,Tuvaluan,Tuvaluan,Tuvaluane
Tanzania,Tanzanian,Tanzanien,Tanzanienne
Uganda,Ugandan,Ougandais,Ougandaise
Ukraine,Ukrainian,Ukrainien,Ukrainienne
Uruguay,Uruguayan,Uruguayen,Uruguayenne
United States,American,Américain,Américaine
Uzbekistan,Uzbekistani,Ouzbèke,Ouzbèke
Saint Vincent and the Grenadines,Saint Vincentian,Vincentais,Vincentaise
Venezuela,Venezuelan,Vénézuélien,Vénézuélienne
Vietnam,Vietnamese,Vietnamien,Vietnamienne
Vanuatu,Ni-Vanuatu,Vanuatuan,Vanuatuane
Samoa,Samoan,Samoan,Samoane
Yemen,Yemeni,Yéménite,Yéménite
South Africa,South African,Sud-africain,Sud-africaine
Zambia,Zambian,Zambien,Zambienne
Zimbabwe,Zimbabwean,Zimbabwéen,Zimbabwéenne
