name,it_m,it_f,it_n,it_sent
Afghanistan,afghano,afghana,,"{'m': 'Sono afghano.', 'f': 'Sono afghana.', 'n': None}"
Albania,,,albanese,"{'m': None, 'f': None, 'n': 'Sono albanese.'}"
Algeria,algerino,algerina,,"{'m': 'Sono algerino.', 'f': 'Sono algerina.', 'n': None}"
Andorra,andorrano,andorrana,,"{'m': 'Sono andorrano.', 'f': 'Sono andorrana.', 'n': None}"
Angola,angolano,angolana,,"{'m': 'Sono angolano.', 'f': 'Sono angolana.', 'n': None}"
Antigua & Barbuda,antiguano,antiguana,,"{'m': 'Sono antiguano.', 'f': 'Sono antiguana.', 'n': None}"
Argentina,argentino,argentina,,"{'m': 'Sono argentino.', 'f': 'Sono argentina.', 'n': None}"
Armenia,armeno,armena,,"{'m': 'Sono armeno.', 'f': 'Sono armena.', 'n': None}"
Australia,australiano,australiana,,"{'m': 'Sono australiano.', 'f': 'Sono australiana.', 'n': None}"
Austria,austriaco,austriaca,,"{'m': 'Sono austriaco.', 'f': 'Sono austriaca.', 'n': None}"
Azerbaijan,azero,azera,,"{'m': 'Sono azero.', 'f': 'Sono azera.', 'n': None}"
Bahamas,,,bahamense,"{'m': None, 'f': None, 'n': 'Sono bahamense.'}"
Bahrain,,,bahreinita,"{'m': None, 'f': None, 'n': 'Sono bahreinita.'}"
Bangladesh,,,bangladese,"{'m': None, 'f': None, 'n': 'Sono bangladese.'}"
Barbados,barbadiano,barbadiana,,"{'m': 'Sono barbadiano.', 'f': 'Sono barbadiana.', 'n': None}"
Belarus,bielorusso,bielorussa,,"{'m': 'Sono bielorusso.', 'f': 'Sono bielorussa.', 'n': None}"
Belgium,,,belga,"{'m': None, 'f': None, 'n': 'Sono belga.'}"
Belize,beliziano,beliziana,,"{'m': 'Sono beliziano.', 'f': 'Sono beliziana.', 'n': None}"
Benin,,,beninese,"{'m': None, 'f': None, 'n': 'Sono beninese.'}"
Bhutan,,,bhutanese,"{'m': None, 'f': None, 'n': 'Sono bhutanese.'}"
Cambodia,cambogiano,cambogiana,,"{'m': 'Sono cambogiano.', 'f': 'Sono cambogiana.', 'n': None}"
Cameroon,,,camerunese,"{'m': None, 'f': None, 'n': 'Sono camerunese.'}"
Canada,,,canadese,"{'m': None, 'f': None, 'n': 'Sono canadese.'}"
Cape Verde,capoverdiano,capoverdiana,,"{'m': 'Sono capoverdiano.', 'f': 'Sono capoverdiana.', 'n': None}"
Central African Republic,centrafricano,centrafricana,,"{'m': 'Sono centrafricano.', 'f': 'Sono centrafricana.', 'n': None}"
Chad,ciadiano,ciadiana,,"{'m': 'Sono ciadiano.', 'f': 'Sono ciadiana.', 'n': None}"
Chile,cileno,cilena,,"{'m': 'Sono cileno.', 'f': 'Sono cilena.', 'n': None}"
China,,,cinese,"{'m': None, 'f': None, 'n': 'Sono cinese.'}"
Colombia,colombiano,colombiana,,"{'m': 'Sono colombiano.', 'f': 'Sono colombiana.', 'n': None}"
Comoros,comoriano,comoriana,,"{'m': 'Sono comoriano.', 'f': 'Sono comoriana.', 'n': None}"
Congo,,,congolese,"{'m': None, 'f': None, 'n': 'Sono congolese.'}"
Costa Rica,costaricano,costaricana,,"{'m': 'Sono costaricano.', 'f': 'Sono costaricana.', 'n': None}"
Croatia,croato,croata,,"{'m': 'Sono croato.', 'f': 'Sono croata.', 'n': None}"
Cuba,cubano,cubana,,"{'m': 'Sono cubano.', 'f': 'Sono cubana.', 'n': None}"
Cyprus,,,cipriota,"{'m': None, 'f': None, 'n': 'Sono cipriota.'}"
Czech Republic,ceco,ceca,,"{'m': 'Sono ceco.', 'f': 'Sono ceca.', 'n': None}"
Denmark,,,danese,"{'m': None, 'f': None, 'n': 'Sono danese.'}"
Djibouti,gibutiano,gibutiana,,"{'m': 'Sono gibutiano.', 'f': 'Sono gibutiana.', 'n': None}"
Dominica,dominicano,dominicana,,"{'m': 'Sono dominicano.', 'f': 'Sono dominicana.', 'n': None}"
East Timor,,,timorese,"{'m': None, 'f': None, 'n': 'Sono timorese.'}"
Ecuador,ecuadoregno,ecuadoregna,,"{'m': 'Sono ecuadoregno.', 'f': 'Sono ecuadoregna.', 'n': None}"
Egypt,egiziano,egiziana,,"{'m': 'Sono egiziano.', 'f': 'Sono egiziana.', 'n': None}"
El Salvador,salvadoregno,salvadoregna,,"{'m': 'Sono salvadoregno.', 'f': 'Sono salvadoregna.', 'n': None}"
Equatorial Guinea,equatoguineano,equatoguineana,,"{'m': 'Sono equatoguineano.', 'f': 'Sono equatoguineana.', 'n': None}"
Eritrea,eritreo,eritrea,,"{'m': 'Sono eritreo.', 'f': 'Sono eritrea.', 'n': None}"
Estonia,,,estone,"{'m': None, 'f': None, 'n': 'Sono estone.'}"
Eswatini (Swaziland),,,swazi,"{'m': None, 'f': None, 'n': 'Sono swazi.'}"
Ethiopia,,,etiope,"{'m': None, 'f': None, 'n': 'Sono etiope.'}"
Fiji,figiano,figiana,,"{'m': 'Sono figiano.', 'f': 'Sono figiana.', 'n': None}"
Finland,,,finlandese,"{'m': None, 'f': None, 'n': 'Sono finlandese.'}"
France,,,francese,"{'m': None, 'f': None, 'n': 'Sono francese.'}"
Gabon,,,gabonese,"{'m': None, 'f': None, 'n': 'Sono gabonese.'}"
Gambia,gambiano,gambiana,,"{'m': 'Sono gambiano.', 'f': 'Sono gambiana.', 'n': None}"
Georgia,georgiano,georgiana,,"{'m': 'Sono georgiano.', 'f': 'Sono georgiana.', 'n': None}"
Germany,tedesco,tedesca,,"{'m': 'Sono tedesco.', 'f': 'Sono tedesca.', 'n': None}"
Ghana,,,ghanese,"{'m': None, 'f': None, 'n': 'Sono ghanese.'}"
Greece,greco,greca,,"{'m': 'Sono greco.', 'f': 'Sono greca.', 'n': None}"
Grenada,grenadino,grenadina,,"{'m': 'Sono grenadino.', 'f': 'Sono grenadina.', 'n': None}"
Guatemala,guatemalteco,guatemalteca,,"{'m': 'Sono guatemalteco.', 'f': 'Sono guatemalteca.', 'n': None}"
Guinea,guineano,guineana,,"{'m': 'Sono guineano.', 'f': 'Sono guineana.', 'n': None}"
Guinea-Bissau,,,guineense,"{'m': None, 'f': None, 'n': 'Sono guineense.'}"
Guyana,,,guyanese,"{'m': None, 'f': None, 'n': 'Sono guyanese.'}"
Haiti,haitiano,haitiana,,"{'m': 'Sono haitiano.', 'f': 'Sono haitiana.', 'n': None}"
Honduras,honduregno,honduregna,,"{'m': 'Sono honduregno.', 'f': 'Sono honduregna.', 'n': None}"
Hungary,,,ungherese,"{'m': None, 'f': None, 'n': 'Sono ungherese.'}"
Iceland,,,islandese,"{'m': None, 'f': None, 'n': 'Sono islandese.'}"
India,indiano,indiana,,"{'m': 'Sono indiano.', 'f': 'Sono indiana.', 'n': None}"
Indonesia,indonesiano,indonesiana,,"{'m': 'Sono indonesiano.', 'f': 'Sono indonesiana.', 'n': None}"
Iran,iraniano,iraniana,,"{'m': 'Sono iraniano.', 'f': 'Sono iraniana.', 'n': None}"
Ireland,,,irlandese,"{'m': None, 'f': None, 'n': 'Sono irlandese.'}"
Iraq,iracheno,irachena,,"{'m': 'Sono iracheno.', 'f': 'Sono irachena.', 'n': None}"
Japan,Giapponese,Giapponesi,,"{'m': 'Sono Giapponese.', 'f': 'Sono Giapponesi.', 'n': None}"
Kyrgyzstan,kirghiso,kirghisa,,"{'m': 'Sono kirghiso.', 'f': 'Sono kirghisa.', 'n': None}"
Laos,laotiano,laotiana,,"{'m': 'Sono laotiano.', 'f': 'Sono laotiana.', 'n': None}"
Latvia,lettone,lettona,,"{'m': 'Sono lettone.', 'f': 'Sono lettona.', 'n': None}"
Lebanon,,,libanese,"{'m': None, 'f': None, 'n': 'Sono libanese.'}"
Lesotho,lesothiano,lesothiana,,"{'m': 'Sono lesothiano.', 'f': 'Sono lesothiana.', 'n': None}"
Liberia,liberiano,liberiana,,"{'m': 'Sono liberiano.', 'f': 'Sono liberiana.', 'n': None}"
Libya,libico,libica,,"{'m': 'Sono libico.', 'f': 'Sono libica.', 'n': None}"
Liechtenstein,,,liechtensteinese,"{'m': None, 'f': None, 'n': 'Sono liechtensteinese.'}"
Lithuania,lituano,lituana,,"{'m': 'Sono lituano.', 'f': 'Sono lituana.', 'n': None}"
Luxembourg,,,lussemburghese,"{'m': None, 'f': None, 'n': 'Sono lussemburghese.'}"
Macedonia (North Macedonia),,,macedone,"{'m': None, 'f': None, 'n': 'Sono macedone.'}"
Madagascar,malgascio,malgascia,,"{'m': 'Sono malgascio.', 'f': 'Sono malgascia.', 'n': None}"
Malawi,malawiano,malawiana,,"{'m': 'Sono malawiano.', 'f': 'Sono malawiana.', 'n': None}"
Malaysia,,,malese,"{'m': None, 'f': None, 'n': 'Sono malese.'}"
Maldives,maldiviano,maldiviana,,"{'m': 'Sono maldiviano.', 'f': 'Sono maldiviana.', 'n': None}"
Mali,maliano,maliana,,"{'m': 'Sono maliano.', 'f': 'Sono maliana.', 'n': None}"
Malta,,,maltese,"{'m': None, 'f': None, 'n': 'Sono maltese.'}"
Marshall Islands,,,marshallese,"{'m': None, 'f': None, 'n': 'Sono marshallese.'}"
Mauritania,mauritano,mauritaniana,,"{'m': 'Sono mauritano.', 'f': 'Sono mauritaniana.', 'n': None}"
Mauritius,mauriziano,mauriziana,,"{'m': 'Sono mauriziano.', 'f': 'Sono mauriziana.', 'n': None}"
Mexico,messicano,messicana,,"{'m': 'Sono messicano.', 'f': 'Sono messicana.', 'n': None}"
Micronesia,micronesiano,micronesiana,,"{'m': 'Sono micronesiano.', 'f': 'Sono micronesiana.', 'n': None}"
Moldova,moldavo,moldava,,"{'m': 'Sono moldavo.', 'f': 'Sono moldava.', 'n': None}"
Monaco,monegasco,monegasca,,"{'m': 'Sono monegasco.', 'f': 'Sono monegasca.', 'n': None}"
Mongolia,mongolo,mongola,,"{'m': 'Sono mongolo.', 'f': 'Sono mongola.', 'n': None}"
Montenegro,montenegrino,montenegrina,,"{'m': 'Sono montenegrino.', 'f': 'Sono montenegrina.', 'n': None}"
Morocco,marocchino,marocchina,,"{'m': 'Sono marocchino.', 'f': 'Sono marocchina.', 'n': None}"
Mozambique,mozambicano,mozambicana,,"{'m': 'Sono mozambicano.', 'f': 'Sono mozambicana.', 'n': None}"
Myanmar (Burma),birmano,birmese,,"{'m': 'Sono birmano.', 'f': 'Sono birmese.', 'n': None}"
Namibia,namibiano,namibiana,,"{'m': 'Sono namibiano.', 'f': 'Sono namibiana.', 'n': None}"
Nauru,nauruano,nauruana,,"{'m': 'Sono nauruano.', 'f': 'Sono nauruana.', 'n': None}"
Nepal,,,nepalese,"{'m': None, 'f': None, 'n': 'Sono nepalese.'}"
Netherlands,,,olandese,"{'m': None, 'f': None, 'n': 'Sono olandese.'}"
New Zealand,,,neozelandese,"{'m': None, 'f': None, 'n': 'Sono neozelandese.'}"
Nicaragua,,,nicaraguense,"{'m': None, 'f': None, 'n': 'Sono nicaraguense.'}"
Niger,nigerino,nigerina,,"{'m': 'Sono nigerino.', 'f': 'Sono nigerina.', 'n': None}"
Nigeria,nigeriano,nigeriana,,"{'m': 'Sono nigeriano.', 'f': 'Sono nigeriana.', 'n': None}"
North Korea,nordcoreano,nordcoreana,,"{'m': 'Sono nordcoreano.', 'f': 'Sono nordcoreana.', 'n': None}"
Norway,,,norvegese,"{'m': None, 'f': None, 'n': 'Sono norvegese.'}"
Oman,,,omanita,"{'m': None, 'f': None, 'n': 'Sono omanita.'}"
Pakistan,pakistano,pakistanа,,"{'m': 'Sono pakistano.', 'f': 'Sono pakistanа.', 'n': None}"
Palau,palauano,palauana,,"{'m': 'Sono palauano.', 'f': 'Sono palauana.', 'n': None}"
Panama,,,panamense,"{'m': None, 'f': None, 'n': 'Sono panamense.'}"
Papua New Guinea,papuano,papuana,,"{'m': 'Sono papuano.', 'f': 'Sono papuana.', 'n': None}"
Paraguay,paraguaiano,paraguaiana,,"{'m': 'Sono paraguaiano.', 'f': 'Sono paraguaiana.', 'n': None}"
Peru,peruviano,peruviana,,"{'m': 'Sono peruviano.', 'f': 'Sono peruviana.', 'n': None}"
Philippines,filippino,filippina,,"{'m': 'Sono filippino.', 'f': 'Sono filippina.', 'n': None}"
Poland,polacco,polacca,,"{'m': 'Sono polacco.', 'f': 'Sono polacca.', 'n': None}"
Portugal,,,portoghese,"{'m': None, 'f': None, 'n': 'Sono portoghese.'}"
Qatar,,,qatariota,"{'m': None, 'f': None, 'n': 'Sono qatariota.'}"
Romania,rumeno,rumena,,"{'m': 'Sono rumeno.', 'f': 'Sono rumena.', 'n': None}"
Russia,russo,russa,,"{'m': 'Sono russo.', 'f': 'Sono russa.', 'n': None}"
Rwanda,,,ruandese,"{'m': None, 'f': None, 'n': 'Sono ruandese.'}"
Saint Kitts and Nevis,kittitiano,kittitiana,,"{'m': 'Sono kittitiano.', 'f': 'Sono kittitiana.', 'n': None}"
Saint Lucia,santaluciano,santaluciana,,"{'m': 'Sono santaluciano.', 'f': 'Sono santaluciana.', 'n': None}"
Saint Vincent and the Grenadines,vincentino,vincentina,,"{'m': 'Sono vincentino.', 'f': 'Sono vincentina.', 'n': None}"
Samoa,samoano,samoana,,"{'m': 'Sono samoano.', 'f': 'Sono samoana.', 'n': None}"
San Marino,,,sammarinese,"{'m': None, 'f': None, 'n': 'Sono sammarinese.'}"
Sao Tome and Principe,,,saotomense,"{'m': None, 'f': None, 'n': 'Sono saotomense.'}"
Saudi Arabia,,,saudita,"{'m': None, 'f': None, 'n': 'Sono saudita.'}"
Scotland,,,scozzese,"{'m': None, 'f': None, 'n': 'Sono scozzese.'}"
Senegal,,,senegalese,"{'m': None, 'f': None, 'n': 'Sono senegalese.'}"
Serbia,serbo,serba,,"{'m': 'Sono serbo.', 'f': 'Sono serba.', 'n': None}"
Seychelles,,,seicellese,"{'m': None, 'f': None, 'n': 'Sono seicellese.'}"
Scotland,scozzese,scozzesi,,"{'m': 'Sono scozzese.', 'f': 'Sono scozzesi.', 'n': None}"
Sierra Leone,,,sierra leonese,"{'m': None, 'f': None, 'n': 'Sono sierra leonese.'}"
Singapore,singaporiano,singaporiana,,"{'m': 'Sono singaporiano.', 'f': 'Sono singaporiana.', 'n': None}"
Slovakia,slovacco,slovacca,,"{'m': 'Sono slovacco.', 'f': 'Sono slovacca.', 'n': None}"
Slovenia,sloveno,slovena,,"{'m': 'Sono sloveno.', 'f': 'Sono slovena.', 'n': None}"
Solomon Islands,,,salomonese,"{'m': None, 'f': None, 'n': 'Sono salomonese.'}"
Somalia,somalo,somala,,"{'m': 'Sono somalo.', 'f': 'Sono somala.', 'n': None}"
South Africa,sudafricano,sudafricana,,"{'m': 'Sono sudafricano.', 'f': 'Sono sudafricana.', 'n': None}"
South Korea,sudcoreano,sudcoreana,,"{'m': 'Sono sudcoreano.', 'f': 'Sono sudcoreana.', 'n': None}"
South Sudan,,,sudsudanese,"{'m': None, 'f': None, 'n': 'Sono sudsudanese.'}"
Spain,spagnolo,spagnola,,"{'m': 'Sono spagnolo.', 'f': 'Sono spagnola.', 'n': None}"
Sri Lanka,,,sri lankese,"{'m': None, 'f': None, 'n': 'Sono sri lankese.'}"
Sudan,,,sudanese,"{'m': None, 'f': None, 'n': 'Sono sudanese.'}"
Suriname,,,surinamese,"{'m': None, 'f': None, 'n': 'Sono surinamese.'}"
Swaziland (Eswatini),,,swazilandese,"{'m': None, 'f': None, 'n': 'Sono swazilandese.'}"
Sweden,,,svedese,"{'m': None, 'f': None, 'n': 'Sono svedese.'}"
Switzerland,svizzero,svizzera,,"{'m': 'Sono svizzero.', 'f': 'Sono svizzera.', 'n': None}"
Taiwan,,,taiwanese,"{'m': None, 'f': None, 'n': 'Sono taiwanese.'}"
Tajikistan,tagiko,tagika,,"{'m': 'Sono tagiko.', 'f': 'Sono tagika.', 'n': None}"
Tanzania,tanzaniano,tanzaniana,,"{'m': 'Sono tanzaniano.', 'f': 'Sono tanzaniana.', 'n': None}"
Thailand,,,thailandese,"{'m': None, 'f': None, 'n': 'Sono thailandese.'}"
Togo,,,togolese,"{'m': None, 'f': None, 'n': 'Sono togolese.'}"
Tonga,tongano,tongana,,"{'m': 'Sono tongano.', 'f': 'Sono tongana.', 'n': None}"
Trinidad and Tobago,,,trinitense,"{'m': None, 'f': None, 'n': 'Sono trinitense.'}"
Tunisia,tunisino,tunisina,,"{'m': 'Sono tunisino.', 'f': 'Sono tunisina.', 'n': None}"
Turkey,turco,turca,,"{'m': 'Sono turco.', 'f': 'Sono turca.', 'n': None}"
Turkmenistan,turkmeno,turkmena,,"{'m': 'Sono turkmeno.', 'f': 'Sono turkmena.', 'n': None}"
Tuvalu,tuvaluano,tuvaluana,,"{'m': 'Sono tuvaluano.', 'f': 'Sono tuvaluana.', 'n': None}"
Uganda,,,ugandese,"{'m': None, 'f': None, 'n': 'Sono ugandese.'}"
Ukraine,ucraino,ucraina,,"{'m': 'Sono ucraino.', 'f': 'Sono ucraina.', 'n': None}"
United Arab Emirates,emiratino,emiratina,,"{'m': 'Sono emiratino.', 'f': 'Sono emiratina.', 'n': None}"
United Kingdom,britannico,britannica,,"{'m': 'Sono britannico.', 'f': 'Sono britannica.', 'n': None}"
United States,,,statunitense,"{'m': None, 'f': None, 'n': 'Sono statunitense.'}"
Uruguay,uruguayano,uruguayana,,"{'m': 'Sono uruguayano.', 'f': 'Sono uruguayana.', 'n': None}"
Uzbekistan,uzbeco,uzbeka,,"{'m': 'Sono uzbeco.', 'f': 'Sono uzbeka.', 'n': None}"
Uganda,,,ugandese,"{'m': None, 'f': None, 'n': 'Sono ugandese.'}"
Vanuatu,vanuatuano,vanuatana,,"{'m': 'Sono vanuatuano.', 'f': 'Sono vanuatana.', 'n': None}"
Vatican City,vaticano,vaticana,,"{'m': 'Sono vaticano.', 'f': 'Sono vaticana.', 'n': None}"
Venezuela,venezuelano,venezuelana,,"{'m': 'Sono venezuelano.', 'f': 'Sono venezuelana.', 'n': None}"
Vietnam,,,vietnamita,"{'m': None, 'f': None, 'n': 'Sono vietnamita.'}"
Wales,gallese,gallesi,,"{'m': 'Sono gallese.', 'f': 'Sono gallesi.', 'n': None}"
Yemen,,,yemenita,"{'m': None, 'f': None, 'n': 'Sono yemenita.'}"
Zambia,zambiano,zambiana,,"{'m': 'Sono zambiano.', 'f': 'Sono zambiana.', 'n': None}"
Zimbabwe,zimbabwiano,zimbabwiana,,"{'m': 'Sono zimbabwiano.', 'f': 'Sono zimbabwiana.', 'n': None}"
